student,sprint,n_messages,dev_weight_sum,dev_centroid,dev_centroid_bin,n_gh_events,gh_dev_centroid,team,label,contributor,dev_lag
t01_s01,Sprint 1,5,1.0,0.4392538930976431,25–50%,,,,,,
t01_s01,Sprint 3,25,755.0,0.48853247354497353,25–50%,73.0,0.5816904546731173,t01,good teammate,higher,0.09315798112814377
t01_s01,Sprint 3,25,755.0,0.48853247354497353,25–50%,73.0,0.5816904546731173,t01,good teammate,higher,0.09315798112814377
t01_s01,Sprint 3,25,755.0,0.48853247354497353,25–50%,73.0,0.5816904546731173,t01,good teammate,higher,0.09315798112814377
t01_s01,Sprint 3,25,755.0,0.48853247354497353,25–50%,73.0,0.5816904546731173,t01,good teammate,higher,0.09315798112814377
t01_s01,Sprint 3,25,755.0,0.48853247354497353,25–50%,73.0,0.5816904546731173,t01,good teammate,higher,0.09315798112814377
t01_s02,Sprint 1,22,66.0,0.6491259780570859,50–75%,112.0,0.8677469308035715,t01,good teammate,higher,0.21862095274648552
t01_s02,Sprint 1,22,66.0,0.6491259780570859,50–75%,112.0,0.8677469308035715,t01,good teammate,higher,0.21862095274648552
t01_s02,Sprint 1,22,66.0,0.6491259780570859,50–75%,112.0,0.8677469308035715,t01,good teammate,higher,0.21862095274648552
t01_s02,Sprint 1,22,66.0,0.6491259780570859,50–75%,112.0,0.8677469308035715,t01,good teammate,higher,0.21862095274648552
t01_s02,Sprint 2,28,230.0,0.5210644159016481,50–75%,48.0,0.7388728848281766,t01,good teammate,higher,0.2178084689265285
t01_s02,Sprint 2,28,230.0,0.5210644159016481,50–75%,48.0,0.7388728848281766,t01,good teammate,higher,0.2178084689265285
t01_s02,Sprint 2,28,230.0,0.5210644159016481,50–75%,48.0,0.7388728848281766,t01,good teammate,higher,0.2178084689265285
t01_s02,Sprint 2,28,230.0,0.5210644159016481,50–75%,48.0,0.7388728848281766,t01,good teammate,higher,0.2178084689265285
t01_s02,Sprint 3,46,1106.0,0.6442111208160801,50–75%,53.0,0.7471332016821404,t01,good teammate,higher,0.10292208086606025
t01_s02,Sprint 3,46,1106.0,0.6442111208160801,50–75%,53.0,0.7471332016821404,t01,good teammate,higher,0.10292208086606025
t01_s02,Sprint 3,46,1106.0,0.6442111208160801,50–75%,53.0,0.7471332016821404,t01,good teammate,higher,0.10292208086606025
t01_s02,Sprint 3,46,1106.0,0.6442111208160801,50–75%,53.0,0.7471332016821404,t01,good teammate,higher,0.10292208086606025
t01_s02,Sprint 3,46,1106.0,0.6442111208160801,50–75%,53.0,0.7471332016821404,t01,good teammate,higher,0.10292208086606025
t01_s03,Sprint 1,58,187.0,0.6886433525267038,50–75%,185.0,0.8355947040790791,t01,good teammate,higher,0.14695135155237526
t01_s03,Sprint 1,58,187.0,0.6886433525267038,50–75%,185.0,0.8355947040790791,t01,good teammate,higher,0.14695135155237526
t01_s03,Sprint 1,58,187.0,0.6886433525267038,50–75%,185.0,0.8355947040790791,t01,good teammate,higher,0.14695135155237526
t01_s03,Sprint 1,58,187.0,0.6886433525267038,50–75%,185.0,0.8355947040790791,t01,good teammate,higher,0.14695135155237526
t01_s03,Sprint 2,60,445.0,0.4906777161885673,25–50%,81.0,0.7155177591888937,t01,good teammate,higher,0.2248400430003264
t01_s03,Sprint 2,60,445.0,0.4906777161885673,25–50%,81.0,0.7155177591888937,t01,good teammate,higher,0.2248400430003264
t01_s03,Sprint 2,60,445.0,0.4906777161885673,25–50%,81.0,0.7155177591888937,t01,good teammate,higher,0.2248400430003264
t01_s03,Sprint 2,60,445.0,0.4906777161885673,25–50%,81.0,0.7155177591888937,t01,good teammate,higher,0.2248400430003264
t01_s03,Sprint 3,60,1352.0,0.5712054811507936,50–75%,78.0,0.6940047939136481,t01,good teammate,higher,0.1227993127628545
t01_s03,Sprint 3,60,1352.0,0.5712054811507936,50–75%,78.0,0.6940047939136481,t01,good teammate,higher,0.1227993127628545
t01_s03,Sprint 3,60,1352.0,0.5712054811507936,50–75%,78.0,0.6940047939136481,t01,good teammate,higher,0.1227993127628545
t01_s03,Sprint 3,60,1352.0,0.5712054811507936,50–75%,78.0,0.6940047939136481,t01,good teammate,higher,0.1227993127628545
t01_s03,Sprint 3,60,1352.0,0.5712054811507936,50–75%,78.0,0.6940047939136481,t01,good teammate,higher,0.1227993127628545
t01_s04,Sprint 1,21,90.0,0.7055247915664582,50–75%,44.0,0.8221818086164677,t01,good teammate,higher,0.11665701705000953
t01_s04,Sprint 1,21,90.0,0.7055247915664582,50–75%,44.0,0.8221818086164677,t01,couch potato,lower,0.11665701705000953
t01_s04,Sprint 1,21,90.0,0.7055247915664582,50–75%,44.0,0.8221818086164677,t01,good teammate,higher,0.11665701705000953
t01_s04,Sprint 1,21,90.0,0.7055247915664582,50–75%,44.0,0.8221818086164677,t01,hitchhiker,lower,0.11665701705000953
t01_s04,Sprint 2,38,317.0,0.5394734864218043,50–75%,74.0,0.7352438881948464,t01,good teammate,higher,0.19577040177304217
t01_s04,Sprint 2,38,317.0,0.5394734864218043,50–75%,74.0,0.7352438881948464,t01,good teammate,higher,0.19577040177304217
t01_s04,Sprint 2,38,317.0,0.5394734864218043,50–75%,74.0,0.7352438881948464,t01,couch potato,lower,0.19577040177304217
t01_s04,Sprint 2,38,317.0,0.5394734864218043,50–75%,74.0,0.7352438881948464,t01,good teammate,higher,0.19577040177304217
t01_s04,Sprint 3,27,507.0,0.5597925086958652,50–75%,61.0,0.6514042103066181,t01,good teammate,higher,0.09161170161075294
t01_s04,Sprint 3,27,507.0,0.5597925086958652,50–75%,61.0,0.6514042103066181,t01,good teammate,higher,0.09161170161075294
t01_s04,Sprint 3,27,507.0,0.5597925086958652,50–75%,61.0,0.6514042103066181,t01,good teammate,higher,0.09161170161075294
t01_s04,Sprint 3,27,507.0,0.5597925086958652,50–75%,61.0,0.6514042103066181,t01,good teammate,higher,0.09161170161075294
t01_s04,Sprint 3,27,507.0,0.5597925086958652,50–75%,61.0,0.6514042103066181,t01,good teammate,higher,0.09161170161075294
t01_s05,Sprint 1,26,91.0,0.7180776818667444,50–75%,49.0,0.8182134589947091,t01,good teammate,higher,0.10013577712796473
t01_s05,Sprint 1,26,91.0,0.7180776818667444,50–75%,49.0,0.8182134589947091,t01,couch potato,lower,0.10013577712796473
t01_s05,Sprint 1,26,91.0,0.7180776818667444,50–75%,49.0,0.8182134589947091,t01,hitchhiker,lower,0.10013577712796473
t01_s05,Sprint 1,26,91.0,0.7180776818667444,50–75%,49.0,0.8182134589947091,t01,good teammate,higher,0.10013577712796473
t01_s05,Sprint 2,24,239.0,0.5713031598396593,50–75%,48.0,0.7620681643805587,t01,good teammate,higher,0.1907650045408994
t01_s05,Sprint 2,24,239.0,0.5713031598396593,50–75%,48.0,0.7620681643805587,t01,good teammate,higher,0.1907650045408994
t01_s05,Sprint 2,24,239.0,0.5713031598396593,50–75%,48.0,0.7620681643805587,t01,couch potato,lower,0.1907650045408994
t01_s05,Sprint 2,24,239.0,0.5713031598396593,50–75%,48.0,0.7620681643805587,t01,good teammate,higher,0.1907650045408994
t01_s05,Sprint 3,8,72.0,0.5765840463789682,50–75%,20.0,0.7567113715277778,t01,good teammate,higher,0.18012732514880958
t01_s05,Sprint 3,8,72.0,0.5765840463789682,50–75%,20.0,0.7567113715277778,t01,good teammate,higher,0.18012732514880958
t01_s05,Sprint 3,8,72.0,0.5765840463789682,50–75%,20.0,0.7567113715277778,t01,hitchhiker,lower,0.18012732514880958
t01_s05,Sprint 3,8,72.0,0.5765840463789682,50–75%,20.0,0.7567113715277778,t01,couch potato,lower,0.18012732514880958
t01_s05,Sprint 3,8,72.0,0.5765840463789682,50–75%,20.0,0.7567113715277778,t01,good teammate,higher,0.18012732514880958
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 1,99,494.0,0.7285593758502533,50–75%,174.0,0.8764722566904679,t02,good teammate,higher,0.1479128808402146
t02_s01,Sprint 2,190,513.0,0.4925019496558392,25–50%,138.0,0.7013566873083563,t02,good teammate,higher,0.2088547376525171
t02_s01,Sprint 2,190,513.0,0.4925019496558392,25–50%,138.0,0.7013566873083563,t02,good teammate,higher,0.2088547376525171
t02_s01,Sprint 2,190,513.0,0.4925019496558392,25–50%,138.0,0.7013566873083563,t02,good teammate,higher,0.2088547376525171
t02_s01,Sprint 2,190,513.0,0.4925019496558392,25–50%,138.0,0.7013566873083563,t02,good teammate,higher,0.2088547376525171
t02_s01,Sprint 2,190,513.0,0.4925019496558392,25–50%,138.0,0.7013566873083563,t02,good teammate,higher,0.2088547376525171
t02_s01,Sprint 2,190,513.0,0.4925019496558392,25–50%,138.0,0.7013566873083563,t02,good teammate,higher,0.2088547376525171
t02_s01,Sprint 3,114,524.0,0.661677966355364,50–75%,88.0,0.8085638471771284,t02,good teammate,higher,0.14688588082176435
t02_s01,Sprint 3,114,524.0,0.661677966355364,50–75%,88.0,0.8085638471771284,t02,good teammate,higher,0.14688588082176435
t02_s01,Sprint 3,114,524.0,0.661677966355364,50–75%,88.0,0.8085638471771284,t02,good teammate,higher,0.14688588082176435
t02_s01,Sprint 3,114,524.0,0.661677966355364,50–75%,88.0,0.8085638471771284,t02,good teammate,higher,0.14688588082176435
t02_s01,Sprint 3,114,524.0,0.661677966355364,50–75%,88.0,0.8085638471771284,t02,good teammate,higher,0.14688588082176435
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,good teammate,higher,0.1093996884352787
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,good teammate,higher,0.1093996884352787
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,good teammate,higher,0.1093996884352787
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,good teammate,higher,0.1093996884352787
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,good teammate,higher,0.1093996884352787
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,good teammate,higher,0.1093996884352787
t02_s02,Sprint 1,35,212.0,0.8157607849326599,75–100%,108.0,0.9251604733679386,t02,couch potato,lower,0.1093996884352787
t02_s02,Sprint 2,22,82.0,0.25286977725393733,25–50%,57.0,0.9585294353571515,t02,lone wolf,higher,0.7056596581032142
t02_s02,Sprint 2,22,82.0,0.25286977725393733,25–50%,57.0,0.9585294353571515,t02,good teammate,higher,0.7056596581032142
t02_s02,Sprint 2,22,82.0,0.25286977725393733,25–50%,57.0,0.9585294353571515,t02,good teammate,higher,0.7056596581032142
t02_s02,Sprint 2,22,82.0,0.25286977725393733,25–50%,57.0,0.9585294353571515,t02,good teammate,higher,0.7056596581032142
t02_s02,Sprint 2,22,82.0,0.25286977725393733,25–50%,57.0,0.9585294353571515,t02,good teammate,higher,0.7056596581032142
