team,event_type,gh_time,global_id,student,sprint
t03,commit,2024-05-02T19:58:01Z,g077,t03_s05,Sprint 3
t03,commit,2024-05-02T02:06:52Z,g001,t03_s01,Sprint 3
t03,commit,2024-05-01T16:19:14Z,g076,t03_s04,Sprint 3
t03,commit,2024-05-01T14:56:14Z,g076,t03_s04,Sprint 3
t03,commit,2024-05-01T03:17:43Z,g031,t03_s02,Sprint 3
t03,commit,2024-05-01T03:09:02Z,g031,t03_s02,Sprint 3
t03,commit,2024-05-01T01:33:18Z,g077,t03_s05,Sprint 3
t03,commit,2024-05-01T01:31:11Z,g001,t03_s01,Sprint 3
t03,commit,2024-05-01T01:02:21Z,g031,t03_s02,Sprint 3
t03,commit,2024-05-01T00:51:39Z,g031,t03_s02,Sprint 3
t03,commit,2024-05-01T00:41:57Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T23:44:34Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T20:43:46Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T20:28:34Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-30T20:09:30Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-30T18:36:31Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T18:00:07Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T17:00:56Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-30T16:57:51Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T16:48:59Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T16:48:33Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T16:42:34Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-30T16:28:07Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-30T15:45:02Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-30T15:27:52Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-30T04:51:51Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T04:45:41Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T04:35:41Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T04:22:55Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T02:30:48Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-30T01:09:23Z,g063,t03_s03,Sprint 3
t03,commit,2024-04-29T22:37:13Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-29T20:16:13Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-29T18:53:09Z,g076,t03_s04,Sprint 3
t03,commit,2024-04-29T06:18:35Z,g031,t03_s02,Sprint 3
t03,commit,2024-04-27T17:13:47Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-27T16:30:15Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-27T16:16:26Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-27T01:32:34Z,g076,t03_s04,Sprint 3
t03,commit,2024-04-26T23:21:20Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-26T23:10:00Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-26T22:11:06Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-26T21:05:48Z,g076,t03_s04,Sprint 3
t03,commit,2024-04-26T20:43:05Z,g076,t03_s04,Sprint 3
t03,commit,2024-04-26T18:40:07Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-25T15:30:57Z,g076,t03_s04,Sprint 3
t03,commit,2024-04-25T15:29:21Z,g076,t03_s04,Sprint 3
t03,commit,2024-04-25T04:04:20Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-25T01:09:35Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-25T00:55:13Z,g001,t03_s01,Sprint 3
t03,commit,2024-04-25T00:52:12Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-25T00:44:19Z,g077,t03_s05,Sprint 3
t03,commit,2024-04-24T18:44:46Z,g076,t03_s04,Sprint 3
