student,sprint,dominant_peer_type,dominant_contributor
WITHDRAWN,Sprint 1,hitchhiker,lower
t01_s01,Sprint 3,good teammate,higher
t01_s02,Sprint 1,good teammate,higher
t01_s02,Sprint 2,good teammate,higher
t01_s02,Sprint 3,good teammate,higher
t01_s03,Sprint 1,good teammate,higher
t01_s03,Sprint 2,good teammate,higher
t01_s03,Sprint 3,good teammate,higher
t01_s04,Sprint 1,good teammate,higher
t01_s04,Sprint 2,good teammate,higher
t01_s04,Sprint 3,good teammate,higher
t01_s05,Sprint 1,good teammate,higher
t01_s05,Sprint 2,good teammate,higher
t01_s05,Sprint 3,good teammate,higher
t02_s01,Sprint 1,good teammate,higher
t02_s01,Sprint 2,good teammate,higher
t02_s01,Sprint 3,good teammate,higher
t02_s02,Sprint 1,good teammate,higher
t02_s02,Sprint 2,good teammate,higher
t02_s02,Sprint 3,good teammate,higher
t02_s03,Sprint 1,good teammate,higher
t02_s03,Sprint 2,good teammate,higher
t02_s03,Sprint 3,good teammate,higher
t02_s04,Sprint 1,good teammate,higher
t02_s04,Sprint 2,good teammate,higher
t02_s04,Sprint 3,good teammate,higher
t02_s05,Sprint 1,good teammate,higher
t02_s05,Sprint 2,good teammate,higher
t02_s05,Sprint 3,good teammate,higher
t02_s06,Sprint 1,good teammate,higher
t02_s06,Sprint 2,good teammate,higher
t02_s06,Sprint 3,good teammate,higher
t03_s01,Sprint 1,good teammate,higher
t03_s01,Sprint 2,good teammate,higher
t03_s01,Sprint 3,good teammate,higher
t03_s02,Sprint 1,good teammate,higher
t03_s02,Sprint 2,good teammate,higher
t03_s02,Sprint 3,good teammate,higher
t03_s03,Sprint 1,good teammate,higher
t03_s03,Sprint 2,good teammate,higher
t03_s03,Sprint 3,good teammate,higher
t03_s04,Sprint 1,good teammate,higher
t03_s04,Sprint 2,good teammate,higher
t03_s04,Sprint 3,good teammate,higher
t03_s05,Sprint 1,good teammate,higher
t03_s05,Sprint 2,good teammate,higher
t03_s05,Sprint 3,good teammate,higher
t04_s01,Sprint 1,good teammate,higher
t04_s01,Sprint 2,lone wolf,higher
t04_s02,Sprint 1,good teammate,higher
t04_s02,Sprint 2,good teammate,higher
t04_s03,Sprint 1,good teammate,higher
t04_s03,Sprint 2,good teammate,higher
t04_s04,Sprint 1,good teammate,higher
t04_s04,Sprint 2,good teammate,higher
t04_s05,Sprint 1,hitchhiker,lower
t04_s05,Sprint 2,couch potato,lower
t05_s01,Sprint 1,good teammate,higher
t05_s01,Sprint 2,good teammate,higher
t05_s01,Sprint 3,good teammate,higher
t05_s02,Sprint 1,couch potato,lower
t05_s02,Sprint 2,good teammate,higher
t05_s02,Sprint 3,good teammate,higher
t05_s03,Sprint 1,good teammate,higher
t05_s03,Sprint 2,good teammate,higher
t05_s03,Sprint 3,good teammate,higher
t05_s04,Sprint 1,good teammate,higher
t05_s04,Sprint 2,good teammate,higher
t05_s04,Sprint 3,good teammate,higher
t05_s05,Sprint 1,good teammate,higher
t05_s05,Sprint 2,good teammate,higher
t05_s05,Sprint 3,good teammate,higher
t06_s01,Sprint 1,good teammate,higher
t06_s01,Sprint 2,good teammate,higher
t06_s01,Sprint 3,good teammate,higher
t06_s02,Sprint 1,couch potato,lower
t06_s02,Sprint 2,good teammate,higher
t06_s02,Sprint 3,good teammate,higher
t06_s03,Sprint 1,good teammate,higher
t06_s03,Sprint 2,good teammate,higher
t06_s03,Sprint 3,good teammate,higher
t06_s04,Sprint 1,good teammate,higher
t06_s04,Sprint 2,good teammate,higher
t06_s04,Sprint 3,good teammate,higher
t06_s05,Sprint 1,good teammate,higher
t06_s05,Sprint 2,good teammate,higher
t06_s05,Sprint 3,good teammate,higher
t07_s01,Sprint 1,good teammate,higher
