team,Label,student,sprint
t01,good teammember,t01_s04,Sprint 1
t01,good teammate,t01_s03,Sprint 1
t01,good teammate,t01_s02,Sprint 1
t01,good teammate,t01_s05,Sprint 1
t01,good teammember,t01_s02,Sprint 1
t01,good teammate,t01_s03,Sprint 1
t01,couch potato,t01_s04,Sprint 1
t01,couch potato,t01_s05,Sprint 1
t01,gamer,t01_s05,Sprint 1
t01,good teammate,t01_s04,Sprint 1
t01,good teammate,t01_s03,Sprint 1
t01,good teammate,t01_s02,Sprint 1
t01,good teammember,t01_s03,Sprint 1
t01,good teammate,t01_s02,Sprint 1
t01,good teammate,t01_s05,Sprint 1
t01,hitchhiker,t01_s04,Sprint 1
t02,good teammember,t02_s06,Sprint 1
t02,good teammate,t02_s01,Sprint 1
t02,good teammate,t02_s03,Sprint 1
t02,couch potato,t02_s04,Sprint 1
t02,good teammate,t02_s02,Sprint 1
t02,good teammate,t02_s05,Sprint 1
t02,good teammember,t02_s01,Sprint 1
t02,good teammate,t02_s06,Sprint 1
t02,good teammate,t02_s04,Sprint 1
t02,couch potato,t02_s05,Sprint 1
t02,good teammate,t02_s03,Sprint 1
t02,good teammate,t02_s02,Sprint 1
t02,good teammember,t02_s05,Sprint 1
t02,good teammate,t02_s03,Sprint 1
t02,good teammate,t02_s01,Sprint 1
t02,good teammate,t02_s06,Sprint 1
t02,good teammate,t02_s02,Sprint 1
t02,good teammate,t02_s04,Sprint 1
t02,good teammember,t02_s02,Sprint 1
t02,good teammate,t02_s06,Sprint 1
t02,good teammate,t02_s03,Sprint 1
t02,good teammate,t02_s01,Sprint 1
t02,good teammate,t02_s04,Sprint 1
t02,couch potato,t02_s06,Sprint 1
t02,good teammember,t02_s04,Sprint 1
t02,good teammate,t02_s02,Sprint 1
t02,good teammate,t02_s03,Sprint 1
t02,good teammate,t02_s01,Sprint 1
t02,good teammate,t02_s06,Sprint 1
t02,good teammate,t02_s05,Sprint 1
t02,good teammember,t02_s03,Sprint 1
t02,good teammate,t02_s04,Sprint 1
t02,good teammate,t02_s02,Sprint 1
t02,good teammate,t02_s01,Sprint 1
t02,good teammate,t02_s06,Sprint 1
t02,good teammate,t02_s05,Sprint 1
t02,good teammember,t02_s01,Sprint 1
t02,good teammate,t02_s06,Sprint 1
t02,good teammate,t02_s04,Sprint 1
t02,good teammate,t02_s05,Sprint 1
t02,good teammate,t02_s03,Sprint 1
t02,couch potato,t02_s02,Sprint 1
t03,good teammember,t03_s05,Sprint 1
