row_idx,activities,actions
467,COMMIT|ISSUE|TESTING,
6715,ISSUE|PULL_REQUEST|TESTING,
5055,ISSUE,
3752,ISSUE,OPENED
10415,ISSUE|TESTING,
7725,,
3927,MERGE,MERGED
10656,MERGE,MERGED
7521,MERGE,MERGED
9332,MERGE,MERGED
13006,MERGE,MERGED
11887,MERGE,MERGED|REVIEWED
13189,COMMIT|PULL_REQUEST,
6372,ISSUE|MERGE|PULL_REQUEST,MERGED
11810,MERGE|PULL_REQUEST,MERGED
680,PULL_REQUEST,FAILED
9409,PULL_REQUEST,
2734,PULL_REQUEST,UPDATED
8075,PULL_REQUEST,
7423,PULL_REQUEST|TESTING,
13338,PULL_REQUEST|TESTING,
9883,PULL_REQUEST|TESTING,
2631,MERGE|PULL_REQUEST,
2757,COMMIT|PULL_REQUEST|TESTING,FAILED
3418,PULL_REQUEST,
8156,PULL_REQUEST,
4206,PULL_REQUEST,
1218,PULL_REQUEST|TESTING,
1610,PULL_REQUEST|TESTING,
13377,PULL_REQUEST|TESTING,
6650,PULL_REQUEST|REVIEW,
111,PULL_REQUEST,
3092,PULL_REQUEST|TESTING,
13327,PULL_REQUEST|TESTING,
7608,ISSUE|PULL_REQUEST,OPENED
8358,PULL_REQUEST,OPENED
7833,PULL_REQUEST,REVIEWED
10940,TESTING,
13390,,
1052,,
10406,,
12021,,
3362,,
12084,,
3572,,
6317,,
12927,,
5904,,
6141,MERGE,
2478,,
1108,,
13389,,
10858,,
12497,,
12127,,
1213,,REVIEWED
7505,,
7341,,
13689,TESTING,
11115,,
1961,,
2309,,
3836,,
5871,,
4346,,
8838,,
4893,,
13391,,
7187,,
10199,,
4070,MERGE,
8299,,
7943,,
9633,,
2278,,
497,,
12987,,
2595,,FAILED
3699,,
4073,TESTING,
2445,,
346,,
2304,,
1984,,
7600,,
2186,,
7009,,
3513,MERGE,
6076,,
4127,,
3754,,
1539,,
10158,,
4605,,
4517,,
8361,,
4955,,
1136,,
10652,,
1870,,
5372,,
3023,,
7916,,
10331,,
5437,,
5265,,
8408,,
9282,,
840,,
5341,,
12223,TESTING,
2972,,
13712,,
10739,,
754,,
10375,,
5713,,
3641,TESTING,
5732,,
3578,,
9059,,
4914,,
1782,,
13072,,
5930,TESTING,FAILED
5486,,
7531,,OPENED
7306,,
2089,MERGE,
6781,TESTING,
950,,
10204,,REVIEWED
2611,,
13533,,
9182,,
5515,,
9878,,
5258,,
2274,,
6613,,
1822,,
8547,,
13123,TESTING,PASSED
6243,,
10508,,
3150,,
3874,,
9013,TESTING,
4682,,
12756,,
13496,,
6310,TESTING,
3276,,
4151,,
10871,TESTING,
12991,,
6115,,
10252,,
13428,,
10914,TESTING,
8406,,
10036,TESTING,
3504,,
2925,,
1989,,
13619,,
11204,,
11490,,
8289,,
2758,,
1005,TESTING,
8650,,
2391,,
2351,MERGE,
6873,,
4987,,
10072,,
561,,
7980,,
8623,,
7069,,
10352,,
4545,,
2770,,
7166,,
10409,COMMIT|TESTING,
13291,REVIEW|TESTING,
3709,TESTING,
7328,CI,
