team,label,student,sprint,global_id
t01,good teammember,t01_s04,Sprint 1,g034
t01,good teammate,t01_s03,Sprint 1,g030
t01,good teammate,t01_s02,Sprint 1,g029
t01,good teammate,t01_s05,Sprint 1,g079
t01,good teammember,t01_s02,Sprint 1,g029
t01,good teammate,t01_s03,Sprint 1,g030
t01,couch potato,t01_s04,Sprint 1,g034
t01,couch potato,t01_s05,Sprint 1,g079
t01,gamer,t01_s05,Sprint 1,g079
t01,good teammate,t01_s04,Sprint 1,g034
t01,good teammate,t01_s03,Sprint 1,g030
t01,good teammate,t01_s02,Sprint 1,g029
t01,good teammember,t01_s03,Sprint 1,g030
t01,good teammate,t01_s02,Sprint 1,g029
t01,good teammate,t01_s05,Sprint 1,g079
t01,hitchhiker,t01_s04,Sprint 1,g034
t02,good teammember,t02_s06,Sprint 1,g084
t02,good teammate,t02_s01,Sprint 1,g004
t02,good teammate,t02_s03,Sprint 1,g012
t02,couch potato,t02_s04,Sprint 1,g027
t02,good teammate,t02_s02,Sprint 1,g009
t02,good teammate,t02_s05,Sprint 1,g028
t02,good teammember,t02_s01,Sprint 1,g004
t02,good teammate,t02_s06,Sprint 1,g084
t02,good teammate,t02_s04,Sprint 1,g027
t02,couch potato,t02_s05,Sprint 1,g028
t02,good teammate,t02_s03,Sprint 1,g012
t02,good teammate,t02_s02,Sprint 1,g009
t02,good teammember,t02_s05,Sprint 1,g028
t02,good teammate,t02_s03,Sprint 1,g012
t02,good teammate,t02_s01,Sprint 1,g004
t02,good teammate,t02_s06,Sprint 1,g084
t02,good teammate,t02_s02,Sprint 1,g009
t02,good teammate,t02_s04,Sprint 1,g027
t02,good teammember,t02_s02,Sprint 1,g009
t02,good teammate,t02_s06,Sprint 1,g084
t02,good teammate,t02_s03,Sprint 1,g012
t02,good teammate,t02_s01,Sprint 1,g004
t02,good teammate,t02_s04,Sprint 1,g027
t02,couch potato,t02_s06,Sprint 1,g084
t02,good teammember,t02_s04,Sprint 1,g027
t02,good teammate,t02_s02,Sprint 1,g009
t02,good teammate,t02_s03,Sprint 1,g012
t02,good teammate,t02_s01,Sprint 1,g004
t02,good teammate,t02_s06,Sprint 1,g084
t02,good teammate,t02_s05,Sprint 1,g028
t02,good teammember,t02_s03,Sprint 1,g012
t02,good teammate,t02_s04,Sprint 1,g027
t02,good teammate,t02_s02,Sprint 1,g009
t02,good teammate,t02_s01,Sprint 1,g004
t02,good teammate,t02_s06,Sprint 1,g084
t02,good teammate,t02_s05,Sprint 1,g028
t02,good teammember,t02_s01,Sprint 1,g004
t02,good teammate,t02_s06,Sprint 1,g084
t02,good teammate,t02_s04,Sprint 1,g027
t02,good teammate,t02_s05,Sprint 1,g028
t02,good teammate,t02_s03,Sprint 1,g012
t02,couch potato,t02_s02,Sprint 1,g009
t03,good teammember,t03_s05,Sprint 1,g077
t03,good teammate,t03_s02,Sprint 1,g031
t03,good teammate,t03_s03,Sprint 1,g063
t03,good teammate,t03_s04,Sprint 1,g076
t03,good teammate,t03_s01,Sprint 1,g001
t03,good teammember,t03_s03,Sprint 1,g063
t03,good teammate,t03_s01,Sprint 1,g001
t03,good teammate,t03_s05,Sprint 1,g077
t03,good teammate,t03_s04,Sprint 1,g076
t03,good teammate,t03_s02,Sprint 1,g031
t03,good teammember,t03_s02,Sprint 1,g031
t03,good teammate,t03_s03,Sprint 1,g063
t03,good teammate,t03_s04,Sprint 1,g076
t03,good teammate,t03_s05,Sprint 1,g077
t03,good teammate,t03_s01,Sprint 1,g001
t03,good teammember,t03_s01,Sprint 1,g001
t03,good teammate,t03_s04,Sprint 1,g076
t03,good teammate,t03_s05,Sprint 1,g077
t03,good teammate,t03_s03,Sprint 1,g063
t03,good teammate,t03_s02,Sprint 1,g031
t03,good teammember,t03_s04,Sprint 1,g076
t03,good teammate,t03_s05,Sprint 1,g077
t03,good teammate,t03_s01,Sprint 1,g001
t03,good teammate,t03_s03,Sprint 1,g063
t03,good teammate,t03_s02,Sprint 1,g031
t04,good teammember,t04_s04,Sprint 1,g069
t04,good teammate,t04_s03,Sprint 1,g095
t04,lone wolf,t04_s05,Sprint 1,g042
t04,good teammate,t04_s01,Sprint 1,g006
t04,couch potato,t04_s02,Sprint 1,g097
t04,gamer,t04_s05,Sprint 1,g042
t04,lone wolf,t04_s01,Sprint 1,g006
t04,good teammate,t04_s04,Sprint 1,g069
t04,good teammate,t04_s03,Sprint 1,g095
t04,good teammate,t04_s02,Sprint 1,g097
t04,good teammember,t04_s03,Sprint 1,g095
t04,good teammate,t04_s04,Sprint 1,g069
t04,lone wolf,t04_s01,Sprint 1,g006
t04,good teammate,t04_s02,Sprint 1,g097
t04,hitchhiker,t04_s05,Sprint 1,g042
t04,lone wolf,t04_s02,Sprint 1,g097
t04,good teammate,t04_s03,Sprint 1,g095
t04,good teammate,t04_s01,Sprint 1,g006
t04,good teammate,t04_s05,Sprint 1,g042
t04,good teammate,t04_s04,Sprint 1,g069
t04,good teammember,t04_s01,Sprint 1,g006
t04,couch potato,t04_s04,Sprint 1,g069
t04,couch potato,t04_s05,Sprint 1,g042
t04,good teammate,t04_s02,Sprint 1,g097
t04,lone wolf,t04_s03,Sprint 1,g095
t05,good teammember,t05_s03,Sprint 1,g062
t05,good teammate,t05_s04,Sprint 1,g064
t05,good teammate,t05_s05,Sprint 1,g072
t05,good teammate,t05_s01,Sprint 1,g058
t05,couch potato,t05_s02,Sprint 1,g059
t05,good teammember,t05_s04,Sprint 1,g064
t05,good teammate,t05_s05,Sprint 1,g072
t05,couch potato,t05_s03,Sprint 1,g062
t05,couch potato,t05_s02,Sprint 1,g059
t05,couch potato,t05_s01,Sprint 1,g058
t05,good teammember,t05_s02,Sprint 1,g059
t05,good teammate,t05_s01,Sprint 1,g058
t05,good teammate,t05_s03,Sprint 1,g062
t05,good teammate,t05_s05,Sprint 1,g072
t05,good teammate,t05_s04,Sprint 1,g064
t05,good teammember,t05_s04,Sprint 1,g064
t05,good teammate,t05_s05,Sprint 1,g072
t05,couch potato,t05_s03,Sprint 1,g062
t05,couch potato,t05_s02,Sprint 1,g059
t05,couch potato,t05_s01,Sprint 1,g058
t05,good teammember,t05_s01,Sprint 1,g058
t05,good teammate,t05_s02,Sprint 1,g059
t05,good teammate,t05_s03,Sprint 1,g062
t05,good teammate,t05_s05,Sprint 1,g072
t05,good teammate,t05_s04,Sprint 1,g064
t05,good teammember,t05_s05,Sprint 1,g072
t05,good teammate,t05_s04,Sprint 1,g064
t05,good teammate,t05_s03,Sprint 1,g062
t05,gamer,t05_s01,Sprint 1,g058
t05,gamer,t05_s02,Sprint 1,g059
t06,couch potato,t06_s02,Sprint 1,g053
t06,good teammate,t06_s04,Sprint 1,g081
t06,good teammate,t06_s05,Sprint 1,g094
t06,good teammate,t06_s01,Sprint 1,g052
t06,good teammate,t06_s03,Sprint 1,g073
t06,good teammember,t06_s03,Sprint 1,g073
t06,good teammate,t06_s04,Sprint 1,g081
t06,good teammate,t06_s01,Sprint 1,g052
t06,good teammate,t06_s05,Sprint 1,g094
t06,couch potato,t06_s02,Sprint 1,g053
t06,good teammember,t06_s04,Sprint 1,g081
t06,good teammate,t06_s01,Sprint 1,g052
t06,good teammate,t06_s03,Sprint 1,g073
t06,couch potato,t06_s02,Sprint 1,g053
t06,hitchhiker,t06_s05,Sprint 1,g094
t06,good teammember,t06_s05,Sprint 1,g094
t06,good teammate,t06_s03,Sprint 1,g073
t06,good teammate,t06_s04,Sprint 1,g081
t06,good teammate,t06_s01,Sprint 1,g052
t06,couch potato,t06_s02,Sprint 1,g053
t06,good teammember,t06_s01,Sprint 1,g052
t06,good teammate,t06_s04,Sprint 1,g081
t06,good teammate,t06_s03,Sprint 1,g073
t06,hitchhiker,t06_s02,Sprint 1,g053
t06,good teammate,t06_s05,Sprint 1,g094
t07,good teammember,t07_s04,Sprint 1,g060
t07,good teammate,t07_s02,Sprint 1,g056
t07,good teammate,t07_s01,Sprint 1,g055
t07,good teammate,t07_s03,Sprint 1,g057
t07,good teammate,t07_s05,Sprint 1,g066
t07,good teammember,t07_s01,Sprint 1,g055
t07,couch potato,t07_s02,Sprint 1,g056
t07,good teammate,t07_s05,Sprint 1,g066
t07,good teammate,t07_s03,Sprint 1,g057
t07,couch potato,t07_s04,Sprint 1,g060
t07,good teammember,t07_s03,Sprint 1,g057
t07,good teammate,t07_s01,Sprint 1,g055
t07,hitchhiker,t07_s02,Sprint 1,g056
t07,lone wolf,t07_s05,Sprint 1,g066
t07,hitchhiker,t07_s04,Sprint 1,g060
t07,good teammember,t07_s05,Sprint 1,g066
t07,good teammate,t07_s01,Sprint 1,g055
t07,good teammate,t07_s03,Sprint 1,g057
t07,good teammate,t07_s04,Sprint 1,g060
t07,good teammate,t07_s02,Sprint 1,g056
t07,good teammember,t07_s02,Sprint 1,g056
t07,good teammate,t07_s01,Sprint 1,g055
t07,good teammate,t07_s04,Sprint 1,g060
t07,good teammate,t07_s03,Sprint 1,g057
t07,good teammate,t07_s05,Sprint 1,g066
t08,good teammember,t08_s06,Sprint 1,g099
t08,good teammate,t08_s04,Sprint 1,g080
t08,lone wolf,t08_s01,Sprint 1,g002
t08,lone wolf,t08_s03,Sprint 1,g010
t08,good teammate,t08_s02,Sprint 1,g003
t08,good teammember,t08_s03,Sprint 1,g010
t08,good teammate,t08_s02,Sprint 1,g003
t08,good teammate,t08_s01,Sprint 1,g002
t08,hitchhiker,t08_s06,Sprint 1,g099
t08,couch potato,t08_s04,Sprint 1,g080
t08,good teammate,t08_s04,Sprint 1,g080
t08,good teammate,t08_s03,Sprint 1,g010
t08,good teammate,t08_s02,Sprint 1,g003
t08,good teammate,t08_s06,Sprint 1,g099
t08,good teammate,t08_s01,Sprint 1,g002
t08,good teammember,t08_s01,Sprint 1,g002
t08,good teammate,t08_s02,Sprint 1,g003
t08,good teammate,t08_s03,Sprint 1,g010
t08,couch potato,t08_s04,Sprint 1,g080
t08,couch potato,t08_s06,Sprint 1,g099
t08,good teammember,t08_s02,Sprint 1,g003
t08,good teammate,t08_s01,Sprint 1,g002
t08,good teammate,t08_s03,Sprint 1,g010
t08,hitchhiker,t08_s04,Sprint 1,g080
t08,na,t08_s06,Sprint 1,g099
t09,good teammember,t09_s06,Sprint 1,g044
t09,good teammate,t09_s04,Sprint 1,g032
t09,good teammate,t09_s01,Sprint 1,g023
t09,couch potato,t09_s02,Sprint 1,g024
t09,good teammate,t09_s03,Sprint 1,g025
t09,hitchhiker,t09_s07,Sprint 1,g102
t09,good teammember,t09_s03,Sprint 1,g025
t09,good teammate,t09_s06,Sprint 1,g044
t09,good teammate,t09_s04,Sprint 1,g032
t09,good teammate,t09_s01,Sprint 1,g023
t09,good teammate,t09_s02,Sprint 1,g024
t09,good teammate,t09_s07,Sprint 1,g102
t09,gamer,t09_s07,Sprint 1,g102
t09,good teammate,t09_s04,Sprint 1,g032
t09,hitchhiker,t09_s02,Sprint 1,g024
t09,good teammate,t09_s01,Sprint 1,g023
t09,good teammate,t09_s06,Sprint 1,g044
t09,good teammember,t09_s02,Sprint 1,g024
t09,good teammate,t09_s01,Sprint 1,g023
t09,good teammate,t09_s04,Sprint 1,g032
t09,good teammate,t09_s06,Sprint 1,g044
t09,good teammate,t09_s03,Sprint 1,g025
